node,P_min_current,P_min_heatwave,P_min_heat_ageing,P_bar_current,E_duration_current_h,E_deficit_current_mgL_h,E_depth_while_below_mgL,demand_L_s,likelihood,severity,consequence,risk_score_breach,risk_score_severity,risk_band_current,risk_band_severity,band_shift_severity_minus_breach,risk_band_heat_ageing,escalates_under_heat,monitored,sampling_priority,control_measure
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.61,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.89,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.32,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.63,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
215,0.0,0.023,0.114,0.0,0.0,0.0,0.0,6.22,rare,negligible,major,3,3,low,low,0,medium,True,False,0.0,No action beyond routine monitoring
219,0.011,1.0,1.0,0.0,0.02,0.0,0.0046,2.79,rare,negligible,moderate,2,2,low,low,0,very high,True,False,0.771,No action beyond routine monitoring
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,rare,negligible,moderate,2,2,low,low,0,low,False,True,0.0,No action beyond routine monitoring
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,rare,negligible,moderate,2,2,low,low,0,low,False,False,0.0,No action beyond routine monitoring
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,rare,negligible,moderate,2,2,low,low,0,low,False,False,0.0,No action beyond routine monitoring
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,rare,negligible,moderate,2,2,low,low,0,low,False,False,0.0,No action beyond routine monitoring
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,rare,negligible,moderate,2,2,low,low,0,low,False,False,0.0,No action beyond routine monitoring
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,rare,negligible,moderate,2,2,low,low,0,low,False,False,0.0,No action beyond routine monitoring
177,0.0,1.0,1.0,0.0,0.0,0.0,0.0207,3.93,rare,negligible,moderate,2,2,low,low,0,very high,True,False,0.0,No action beyond routine monitoring
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,rare,negligible,moderate,2,2,low,low,0,low,False,False,0.0,No action beyond routine monitoring
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,rare,negligible,moderate,2,2,low,low,0,low,False,False,0.0,No action beyond routine monitoring
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,rare,negligible,moderate,2,2,low,low,0,low,False,False,0.0,No action beyond routine monitoring
239,0.0,0.832,0.986,0.0,0.0,0.0,0.0042,3.01,rare,negligible,moderate,2,2,low,low,0,very high,True,False,0.0,No action beyond routine monitoring
225,0.03,1.0,1.0,0.001,0.06,0.0,0.0055,1.54,rare,negligible,minor,1,1,low,low,0,medium,True,False,1.0,No action beyond routine monitoring
231,0.001,1.0,1.0,0.0,0.0,0.0,0.0083,1.11,rare,negligible,minor,1,1,low,low,0,medium,True,True,0.048,No action beyond routine monitoring
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,rare,negligible,minor,1,1,low,low,0,low,False,True,0.0,No action beyond routine monitoring
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,rare,negligible,minor,1,1,low,low,0,low,False,False,0.0,No action beyond routine monitoring
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,rare,negligible,minor,1,1,low,low,0,low,False,False,0.0,No action beyond routine monitoring
166,0.0,0.483,0.492,0.0,0.0,0.0,0.0,0.18,rare,negligible,minor,1,1,low,low,0,low,False,False,0.0,No action beyond routine monitoring
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,rare,negligible,minor,1,1,low,low,0,low,False,False,0.0,No action beyond routine monitoring
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,rare,negligible,minor,1,1,low,low,0,low,False,False,0.0,No action beyond routine monitoring
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,rare,negligible,minor,1,1,low,low,0,low,False,True,0.0,No action beyond routine monitoring
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,rare,negligible,minor,1,1,low,low,0,low,False,False,0.0,No action beyond routine monitoring
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,rare,negligible,minor,1,1,low,low,0,low,False,False,0.0,No action beyond routine monitoring
217,0.0,0.403,0.748,0.0,0.0,0.0,0.0,1.63,rare,negligible,minor,1,1,low,low,0,medium,True,False,0.0,No action beyond routine monitoring
237,0.0,0.0,0.001,0.0,0.0,0.0,0.0,1.05,rare,negligible,minor,1,1,low,low,0,low,False,False,0.0,No action beyond routine monitoring
20,1.0,1.0,1.0,0.38,18.25,0.394,0.0216,0.0,almost certain,prolonged,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
50,1.0,1.0,1.0,0.167,8.0,0.688,0.086,0.0,almost certain,sustained,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
129,1.0,1.0,1.0,0.495,23.78,0.859,0.0361,0.0,almost certain,prolonged,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
241,1.0,1.0,1.0,0.042,2.0,0.188,0.0941,0.0,almost certain,brief,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
40,0.0,1.0,1.0,0.0,0.0,0.0,0.012,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
179,0.0,1.0,1.0,0.0,0.0,0.0,0.0207,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
183,0.0,1.0,1.0,0.0,0.0,0.0,0.023,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
249,0.0,0.122,0.533,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rare,negligible,non-consumer,0,0,not applicable,not applicable,0,not applicable,False,False,0.0,Not applicable
